File,Title,Date Created,Date Updated
Tag_requests_received_at_support@itsolver.com.au.json,Tag requests received at support@itsolver.com.au,2017-08-15T10:57:18Z,2017-08-15T10:57:33Z
Tag_calendly_notifications_with_no_email.json,Tag calendly notifications with no_email,2017-01-30T05:29:44Z,2017-08-15T10:57:33Z
Set_Support_Type_to_Billing_if_ticket_received_at_billing@itsolver.net.json,Set Support Type to Billing if ticket received at billing@itsolver.net,2016-11-13T11:45:25Z,2017-08-15T10:57:33Z
Notify_requester_remittance_advice_received_and_mark_solved.json,Notify requester remittance advice received and mark solved,2017-03-31T10:19:49Z,2017-08-15T10:57:33Z
Notify_requester_of_received_request_-_but_IT_Solver_closed_for_Christmas.json,Notify requester of received request - but IT Solver closed for Christmas,2016-12-18T10:06:41Z,2017-08-15T10:57:33Z
Notify_requester_of_received_request.json,Notify requester of received request,2013-03-13T00:29:03Z,2017-09-08T03:33:15Z
Notify_requester_of_IT_Solver_away_on_holiday.json,Notify requester of IT Solver away on holiday,2017-07-25T22:36:58Z,2017-08-15T10:57:33Z
Notify_requester_of_comment_update.json,Notify requester of comment update,2013-03-13T00:29:03Z,2017-09-08T03:33:36Z
Notify_requester_of_solved_request_(original).json,Notify requester of solved request (original),2013-03-13T00:29:03Z,2017-08-15T10:57:33Z
Notify_assignee_of_comment_update_(original).json,Notify assignee of comment update (original),2013-03-13T00:29:03Z,2017-08-15T10:57:33Z
Notify_assignee_of_assignment.json,Notify assignee of assignment,2013-03-13T00:29:03Z,2017-08-15T10:57:33Z
Notify_assignee_of_reopened_ticket_(original).json,Notify assignee of reopened ticket (original),2013-03-13T00:29:03Z,2017-08-15T10:57:33Z
Notify_group_of_assignment.json,Notify group of assignment,2013-03-13T00:29:03Z,2017-08-15T10:57:33Z
Notify_all_agents_of_received_request.json,Notify all agents of received request,2013-03-13T00:29:03Z,2017-08-15T10:57:33Z
Auto-assign_to_first_email_responding_agent.json,Auto-assign to first email responding agent,2013-03-13T00:29:03Z,2017-08-15T10:57:33Z
Notify_requester_of_solved_request_&_ask_for_review.json,Notify requester of solved request & ask for review,2013-11-11T08:14:33Z,2017-08-15T10:57:33Z
Notify_assignee_of_possible_reopening_of_ticket_and_then_solve_again.json,Notify assignee of possible reopening of ticket and then solve again,2013-11-11T08:23:53Z,2017-09-08T03:34:32Z
Notify_assignee_of_comment_update.json,Notify assignee of comment update,2013-11-11T08:24:41Z,2017-08-15T10:57:33Z
Notify_support_group_of_computer_drop_off.json,Notify support group of computer drop off,2014-05-15T00:50:46Z,2017-08-15T10:57:33Z
Close_Facebook_Posts_from_IT_Solver_Blog_Posts.json,Close Facebook Posts from IT Solver Blog Posts,2015-06-01T08:58:21Z,2017-08-15T10:57:33Z
Add_voicemail_tickets_to_callback_list.json,Add voicemail tickets to callback list,2016-05-21T02:08:37Z,2017-08-15T10:57:33Z
Update_calendar_event_[Created_by_Calendar].json,Update calendar event [Created by Calendar],2016-05-24T01:57:31Z,2017-08-15T10:57:33Z
Add_invoiced_tag.json,Add invoiced tag,2016-06-01T13:49:59Z,2017-11-08T06:44:17Z
